139578,7,aquisition_unlikely,aquisition_likely,,,,
3,4,5,1,5.99,6,35.94,0
3,6,7,1,5.99,4,23.96,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,2,12.7,0
0,0,0,1,5.99,1,6.81,0
1,2,3,1,5.99,6,35.94,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,6,35.94,0
1,5,8,1,5.99,5,32.4,0
1,2,3,1,5.99,6,38.46,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,6,35.94,0
2,3,4,1,5.99,5,29.95,0
1,2,3,1,5.99,6,35.94,0
1,2,3,1,5.99,6,38.1,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,6,38.34,0
0,0,0,1,5.99,3,19.23,0
0,0,0,1,5.99,2,13.54,0
1,2,3,2,11.98,4,25.88,1
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,4,25.68,0
1,2,4,1,5.99,6,35.94,0
1,2,3,1,5.99,6,35.94,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,6.26,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,6,35.94,0
2,3,4,1,5.99,5,30.25,0
0,0,0,1,5.99,2,12.96,0
1,2,3,1,5.99,6,38.88,0
0,0,0,1,5.99,1,6.77,0
1,2,3,1,5.99,6,35.94,0
0,0,0,1,5.99,2,12.78,0
1,2,3,1,5.99,6,38.88,0
0,0,0,1,5.99,3,17.97,0
6,7,10,1,5.99,5,32.4,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,3,19.44,0
6,7,8,1,5.99,1,6.35,0
1,2,3,2,11.98,5,29.95,1
1,2,3,1,5.99,5,32.4,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,3,17.97,0
1,2,3,1,5.99,5,29.95,0
0,0,0,2,11.98,2,12.82,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,3,17.97,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,32.05,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,2,11.98,0
0,0,0,1,5.99,1,5.99,0
1,2,5,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
0,0,0,2,11.98,2,11.98,0
1,2,3,1,5.99,5,32.4,0
1,2,3,1,5.99,5,32.2,0
1,2,3,1,5.99,5,32.4,0
1,2,3,1,5.99,2,11.98,0
0,0,0,1,5.99,1,6.35,0
1,2,3,2,11.98,5,29.95,1
0,0,0,1,5.99,4,25.92,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,32.4,0
0,0,0,1,5.99,3,17.97,0
0,0,0,1,5.99,1,6.41,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,2,11.98,0
1,2,3,1,5.99,5,32.95,0
1,2,3,1,5.99,2,13.66,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,31.6,0
0,0,0,1,5.99,2,13.12,0
0,0,0,1,5.99,2,11.98,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,1,6.56,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,31.95,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,32.95,0
0,0,0,1,5.99,2,12.7,0
1,2,3,1,5.99,5,30.25,0
0,0,0,1,5.99,2,12.82,0
0,0,0,1,5.99,3,17.97,0
0,0,0,1,5.99,2,11.98,0
1,2,3,1,5.99,5,32.05,0
6,7,8,1,5.99,1,6.41,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,31.45,0
0,0,0,1,5.99,4,23.96,0
1,2,3,1,5.99,5,29.95,0
1,2,7,2,11.98,4,25.92,1
3,4,5,1,5.99,2,12.96,0
0,0,0,1,5.99,1,6.53,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,1,6.56,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,5.99,0
1,2,5,1,5.99,5,32.4,0
1,2,3,1,5.99,5,32.4,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
6,8,9,1,5.99,4,23.96,0
0,0,0,1,5.99,1,6.48,0
1,2,3,1,5.99,2,11.98,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,3,19.38,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,32.95,0
0,0,0,1,5.99,2,11.98,0
2,6,9,3,17.97,4,23.96,1
1,2,3,1,5.99,5,29.95,0
2,5,6,1,5.99,5,29.95,0
0,0,0,2,11.98,1,5.99,0
1,2,3,1,5.99,5,31.75,0
0,0,0,1,5.99,3,19.95,0
1,2,3,1,5.99,2,11.98,0
0,0,0,1,5.99,2,11.98,0
1,2,3,1,5.99,2,11.98,0
2,3,4,1,5.99,2,12.8,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
3,4,5,1,5.99,5,29.95,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,6.48,0
1,2,3,1,5.99,2,11.98,0
0,0,0,1,5.99,1,6.56,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,32.4,0
1,2,3,1,5.99,5,32.4,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,1,6.48,0
1,2,3,2,11.98,3,12.56,1
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,2,12.82,0
0,0,0,1,5.99,2,12.96,0
0,0,0,1,5.99,1,5.99,0
1,4,5,1,5.99,5,32.05,0
6,7,8,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
0,0,0,2,11.98,1,5.99,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,2,11.98,0
1,3,4,1,5.99,5,32.4,0
1,2,3,2,11.98,2,12.4,1
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,3,17.97,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,31.3,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,1,6.39,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,1,6.77,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,2,11.98,0
1,2,3,1,5.99,2,11.98,0
1,2,3,2,11.98,5,29.95,1
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,2,12.94,0
1,2,3,1,5.99,2,11.98,0
1,2,3,1,5.99,5,29.95,0
1,3,4,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,3,17.97,0
1,2,2,1,5.99,2,11.98,0
0,0,0,1,5.99,4,26,0
1,2,3,1,5.99,2,12.96,0
1,2,3,1,5.99,2,12.1,0
1,2,3,1,5.99,5,32.35,0
1,2,3,1,5.99,5,32.4,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,2,12.88,0
1,2,2,2,11.98,3,17.97,1
1,2,4,1,5.99,5,29.95,0
1,2,3,1,5.99,5,32.8,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,4,23.96,0
6,7,8,1,5.99,4,23.96,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,2,12.82,0
0,0,0,1,5.99,1,6.51,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,3,19.44,0
1,2,3,1,5.99,2,13.18,0
1,2,3,1,5.99,4,23.96,0
1,2,3,1,5.99,5,31.65,0
1,2,2,2,11.98,3,19.17,1
0,0,0,1,5.99,1,6.41,0
6,7,8,1,5.99,4,25.74,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,3,19.41,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
6,7,8,1,5.99,4,23.96,0
1,2,3,1,5.99,5,29.95,0
6,7,8,1,5.99,1,6.48,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,3,20.31,0
1,2,3,1,5.99,5,33.9,0
1,2,3,1,5.99,2,12.7,0
1,1,1,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,6.32,0
0,0,0,2,70.98,3,71.98,1
0,0,0,1,5.99,2,12.66,0
6,7,8,1,5.99,4,24.2,0
0,0,0,2,11.98,2,11.98,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,4,25.92,0
1,2,3,1,5.99,5,32.4,0
0,0,0,1,5.99,2,12.96,0
0,0,0,1,5.99,3,17.97,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,32.4,0
0,0,0,1,5.99,1,6.48,0
0,0,0,1,5.99,3,17.97,0
6,7,8,1,5.99,4,25.92,0
0,0,0,1,5.99,1,6.48,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,32.3,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,3,17.97,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,2,13.66,0
1,2,2,2,11.98,3,17.97,1
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,6.48,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,3,17.97,0
1,2,3,1,5.99,2,11.98,0
1,2,3,1,5.99,2,12.84,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,6.51,0
1,2,3,1,5.99,5,31.95,0
0,0,0,2,11.98,3,19.68,0
0,0,0,1,5.99,1,6.85,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,33.77,0
1,4,5,1,5.99,5,29.95,0
0,0,0,1,5.99,1,6.71,0
0,0,0,1,5.99,1,6.38,0
0,0,0,1,5.99,1,6.39,0
1,2,3,1,5.99,2,12.82,0
1,2,3,1,5.99,5,32.4,0
1,2,3,1,5.99,2,11.98,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,2,11.98,0
1,2,3,1,5.99,5,31.85,0
0,0,0,1,5.99,1,5.99,0
4,5,6,2,11.98,2,11.98,1
1,2,3,1,5.99,5,32.8,0
1,2,3,1,5.99,2,11.98,0
1,2,3,1,5.99,2,11.98,0
0,0,0,1,5.99,1,6.35,0
0,0,0,1,5.99,3,17.97,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,6.53,0
5,6,7,2,11.98,3,17.97,0
1,2,3,1,5.99,5,31.75,0
0,0,0,1,5.99,4,23.96,0
1,2,3,1,5.99,5,32.4,0
0,0,0,1,5.99,1,6.77,0
0,0,0,1,5.99,1,6.35,0
1,3,6,1,5.99,5,32.35,0
1,2,3,1,5.99,5,32.35,0
0,0,0,1,5.99,3,19.44,0
0,0,0,1,5.99,3,17.97,0
0,0,0,1,5.99,5,32.4,0
0,0,0,1,5.99,5,32.1,0
0,0,0,1,5.99,5,29.95,0
0,0,0,1,5.99,5,32.95,0
0,0,0,1,5.99,5,29.95,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,2,12.82,0
1,2,2,1,5.99,2,11.98,0
0,0,0,1,5.99,2,13.02,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
1,2,2,1,5.99,5,29.95,0
0,0,0,1,5.99,1,5.99,0
1,2,2,1,5.99,5,32.35,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,5,32.55,0
1,2,2,1,5.99,2,11.98,0
1,2,2,1,5.99,5,29.95,0
0,0,0,1,5.99,5,29.95,0
0,0,0,1,5.99,5,32.4,0
0,0,0,1,5.99,1,6.36,0
0,0,0,2,11.98,3,17.97,0
0,0,0,1,5.99,1,6.49,0
0,0,0,1,5.99,1,6.48,0
0,0,0,1,5.99,2,13.58,0
0,0,0,1,5.99,5,32.8,0
0,0,0,1,5.99,4,27.32,0
0,0,0,1,5.99,4,26.04,0
5,6,7,1,5.99,2,12.96,0
0,0,0,1,5.99,5,29.95,0
1,2,2,1,5.99,2,11.98,0
2,4,6,1,5.99,5,32.35,0
0,0,0,1,5.99,5,29.95,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,5,29.95,0
0,0,0,2,11.98,1,6.47,1
0,0,0,1,5.99,5,29.95,0
0,0,0,1,5.99,5,32.4,0
0,0,0,1,5.99,2,12.1,0
1,2,2,1,5.99,5,29.95,0
0,0,0,1,5.99,1,6.4,0
1,2,2,1,5.99,5,29.95,0
0,0,0,1,5.99,5,29.95,0
1,2,3,2,11.98,6,38.1,1
0,0,0,1,5.99,2,13.54,0
0,0,0,1,5.99,2,12.64,0
0,0,0,1,5.99,3,17.97,0
1,2,2,1,5.99,5,29.95,0
0,0,0,1,5.99,3,19.32,0
1,4,5,1,5.99,4,23.96,0
1,2,2,1,5.99,5,34.05,0
1,2,2,1,5.99,5,29.95,0
1,2,2,1,5.99,5,29.95,0
1,3,3,1,5.99,5,32.1,0
0,0,0,1,5.99,3,19.44,0
0,0,0,1,5.99,1,5.99,0
1,2,2,1,5.99,5,29.95,0
1,2,2,1,5.99,5,33.85,0
1,2,2,1,5.99,5,32.35,0
0,0,0,1,5.99,3,17.97,0
2,3,3,1,5.99,5,32.8,0
1,2,2,1,5.99,2,13.18,0
0,0,0,1,5.99,3,20.34,0
6,7,7,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,6.8,0
1,1,1,2,11.98,5,32.1,1
1,2,2,1,5.99,5,29.95,0
1,2,2,1,5.99,5,31.75,0
0,0,0,1,5.99,2,11.98,0
1,2,2,1,5.99,5,29.95,0
1,2,3,1,5.99,2,11.98,0
6,7,8,2,11.98,4,25.92,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
1,2,2,1,5.99,5,32.4,0
1,2,2,1,5.99,5,29.95,0
6,7,7,1,5.99,4,25.64,0
1,2,3,1,5.99,5,29.95,0
1,2,2,1,5.99,5,29.95,0
6,7,7,1,5.99,4,23.96,0
1,2,6,1,5.99,5,29.95,0
0,0,0,1,5.99,1,6.45,0
0,0,0,1,5.99,1,5.99,0
1,2,2,1,5.99,5,32.05,0
0,0,0,1,5.99,2,12.84,0
0,0,0,1,5.99,1,6.48,0
0,0,0,2,11.98,1,5.99,0
1,7,7,1,5.99,5,33.95,0
0,0,0,1,5.99,2,11.98,0
4,5,6,1,5.99,1,6.48,0
1,2,2,1,5.99,5,29.95,0
1,2,3,1,5.99,4,25.64,0
1,2,2,1,5.99,2,11.98,0
0,0,0,1,5.99,1,6.48,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,4,25.64,0
1,2,3,1,5.99,4,23.96,0
0,0,0,1,5.99,3,17.97,0
1,2,2,1,5.99,5,34.05,0
0,0,0,1,5.99,1,6.78,0
1,2,2,1,5.99,5,34.05,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,6.48,0
1,2,2,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
1,2,2,1,5.99,2,12.78,0
0,0,0,1,5.99,1,5.99,0
4,6,7,1,5.99,5,29.95,0
0,0,0,1,5.99,2,12.96,0
1,2,2,1,5.99,2,11.98,0
0,0,0,1,5.99,2,11.98,0
1,2,3,1,5.99,5,32.1,0
1,2,2,1,5.99,5,32.65,0
1,2,2,1,5.99,5,29.95,0
0,0,0,1,5.99,3,17.97,0
1,2,3,1,5.99,5,32.36,0
1,2,3,1,5.99,5,29.95,0
1,2,2,1,5.99,5,29.95,0
1,7,7,1,5.99,5,29.95,0
0,0,0,1,5.99,1,5.99,0
0,0,0,2,11.98,2,12.96,1
6,7,7,2,11.98,2,11.98,0
0,0,0,1,5.99,1,6.78,0
0,0,0,1,5.99,1,5.99,0
4,5,6,2,11.98,1,5.99,1
1,2,3,1,5.99,2,11.98,0
1,2,4,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,2,12.78,0
0,0,0,1,5.99,1,6.56,0
6,7,8,1,5.99,4,25.88,0
1,2,3,1,5.99,5,33.95,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,32.18,0
1,2,3,1,5.99,5,34.04,0
0,0,0,1,5.99,2,12.9,0
1,2,3,1,5.99,2,11.98,0
1,2,3,1,5.99,2,12.96,0
1,2,2,2,11.98,3,19.44,1
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,3,19.35,0
0,0,0,1,5.99,1,5.99,0
3,4,5,1,5.99,5,29.95,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,5,29.95,0
1,2,3,1,5.99,5,29.95,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,3,17.97,0
