139578,7,aquisition_unlikely,aquisition_likely,,,,
0,0,0,1,64.99,1,64.35,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.28,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.05,0
0,0,0,1,64.99,1,141.31,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,65.4,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.35,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,140.73,0
0,0,0,1,64.99,1,64.5,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.5,0
0,0,0,1,64.99,1,68.32,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.2,0
1,2,2,1,5.99,2,12.96,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,1299,0
4,5,6,1,5.99,3,19.05,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,140.4,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,63.36,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,143,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,68.38,0
0,0,0,1,64.99,1,139.26,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,143,0
0,0,0,1,64.99,1,63.3,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,137.8,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,67.96,0
0,0,0,1,64.99,1,65.7,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,140.89,0
0,0,0,1,64.99,1,68.14,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,63.3,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,140.73,0
0,0,0,1,64.99,1,139.1,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,140.73,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,306.6,0
0,0,0,1,64.99,1,64.35,0
0,0,0,1,5.99,1,5.99,0
6,7,8,1,5.99,2,12.96,0
0,0,0,1,64.99,1,65.7,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,135.2,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,67.96,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,67.58,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,68.26,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.35,0
1,2,2,1,5.99,2,11.98,0
0,0,0,1,64.99,1,64.8,0
0,0,0,1,64.99,1,138.91,0
0,0,0,1,64.99,1,68.08,0
1,2,3,1,5.99,3,18.15,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,67.9,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,148.16,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,63.6,0
0,0,0,1,64.99,1,138.78,0
0,0,0,1,64.99,1,63.6,0
2,2,2,1,64.99,1,65.16,0
2,2,2,1,64.99,1,64.35,0
0,0,0,1,64.99,2,148.67,0
0,0,0,1,64.99,1,65.7,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,140.47,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,66,0
0,0,0,1,64.99,1,140.73,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,64.2,0
2,6,11,1,5.99,3,19.32,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
6,6,6,1,5.99,0,0,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,63.9,0
0,0,0,1,64.99,2,184.84,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
6,10,10,2,11.98,2,11.98,0
0,0,0,1,64.99,1,60,0
3,6,6,1,5.99,0,0,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.98,0
0,0,0,1,64.99,2,139.1,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.8,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,67.84,0
1,2,2,1,5.99,2,11.98,0
0,0,0,1,64.99,1,139.1,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,67.6,0
0,0,0,1,64.99,1,63,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.43,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
1,2,2,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
2,2,2,1,64.99,1,64.5,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,65.52,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,64.35,0
0,0,0,1,64.99,1,60,0
1,1,1,1,5.99,1,6.59,0
0,0,0,1,64.99,1,140.92,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,65.16,0
0,0,0,1,64.99,1,60,0
3,4,4,1,5.99,2,11.98,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,65.46,0
0,0,0,1,64.99,1,64.35,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,63.3,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,63.9,0
0,0,0,1,64.99,1,63.66,0
0,0,0,1,64.99,1,63.6,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,68.38,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.86,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,65.1,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,1354.32,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,140.73,0
0,0,0,1,64.99,2,146.46,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
1,2,3,1,5.99,3,19.23,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,142.35,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,66.3,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,2,64.05,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,142.35,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
6,7,8,1,5.99,3,19.44,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,2,65.7,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,148.16,0
0,0,0,1,64.99,2,64.05,0
0,0,0,1,64.99,2,316.29,0
0,0,0,1,64.99,2,68.32,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,68.38,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,139.1,0
0,0,0,1,64.99,2,64.5,0
0,0,0,1,64.99,2,147.24,0
0,0,0,1,64.99,1,60,0
2,2,2,1,64.99,1,1200,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,303.1,0
0,0,0,1,64.99,2,1299,0
0,0,0,1,64.99,2,63.6,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,63.66,0
0,0,0,1,64.99,2,147.76,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,2,65.7,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,280,0
4,6,7,1,5.99,3,17.97,0
0,0,0,1,64.99,1,60,0
1,2,2,1,5.99,2,12.64,0
0,0,0,1,64.99,2,63.6,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,60.6,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,142.35,0
0,0,0,1,64.99,2,67.96,0
0,0,0,1,64.99,2,1351.92,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,306.6,0
0,0,0,1,64.99,2,63.3,0
0,0,0,1,64.99,2,67.9,0
0,0,0,1,64.99,1,60,0
2,2,2,1,64.99,2,64.2,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,65.34,0
0,0,0,1,64.99,2,306.6,0
0,0,0,1,64.99,2,317.13,0
1,2,2,1,5.99,2,11.98,0
0,0,0,1,64.99,2,67.6,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,2,138.78,0
0,0,0,1,64.99,2,64.2,0
0,0,0,1,64.99,2,139.1,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,64.43,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,65.16,0
0,0,0,1,64.99,2,313.71,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,67.96,0
0,0,0,1,64.99,2,64.8,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,66,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,68.26,0
0,0,0,1,64.99,2,141.7,0
0,0,0,1,64.99,2,67.96,0
0,0,0,1,64.99,2,303.1,0
0,0,0,1,64.99,2,66.15,0
0,0,0,1,64.99,2,140.73,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,1200,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,1200,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,147.24,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,2,140.73,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,65.16,0
0,0,0,1,64.99,2,67.9,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,303.1,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,1,60,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,6.44,0
0,0,0,1,5.99,2,11.98,0
1,1,1,1,5.99,1,5.99,0
1,1,1,1,64.99,2,129.98,0
1,2,3,1,5.99,3,19.35,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,3,19.23,0
1,3,3,1,5.99,2,11.98,0
1,2,4,1,5.99,3,17.97,0
0,0,0,1,5.99,1,6.79,0
1,1,1,2,11.98,2,11.98,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,6.41,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,20.43,0
1,2,3,1,5.99,3,19.32,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,3,19.26,0
1,2,3,1,5.99,3,19.44,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,2,11.98,0
2,2,2,1,5.99,0,0,0
1,2,3,1,5.99,3,19.44,0
1,2,2,2,11.98,3,19.44,1
1,2,3,1,5.99,3,19.44,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,2,11.98,0
3,4,6,1,5.99,3,17.97,0
0,0,0,1,5.99,1,6.44,0
1,2,3,1,5.99,3,20.34,0
0,0,0,1,5.99,2,12.7,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,2,12.88,0
3,7,8,1,5.99,3,17.97,0
1,2,3,1,5.99,3,19.23,0
1,2,3,1,5.99,3,20.34,0
0,0,0,1,64.99,1,64.99,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,5.99,0
0,0,0,2,11.98,1,6.41,0
2,3,4,1,5.99,3,19.44,0
1,2,3,1,5.99,3,19.44,0
6,10,15,1,5.99,2,11.98,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,19.14,0
0,0,0,1,5.99,2,12.96,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,5.99,0
0,0,0,2,11.98,1,5.99,0
3,4,5,1,5.99,3,19.05,0
1,2,3,1,5.99,3,19.23,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,6.51,0
3,4,5,1,5.99,3,19.77,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,6.81,0
2,5,6,1,5.99,3,19.26,0
1,1,1,1,64.99,1,64.99,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,6.87,0
1,2,3,1,5.99,3,19.05,0
0,0,0,2,11.98,1,6.47,0
1,2,3,1,5.99,3,20.43,0
0,0,0,1,5.99,1,5.99,0
3,5,6,1,5.99,3,17.97,0
6,7,8,1,5.99,2,11.98,0
2,2,2,4,259.96,5,324.95,0
0,0,0,2,11.98,1,6.38,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,2,12.84,0
1,2,3,1,5.99,3,17.97,0
6,8,9,1,5.99,2,12.46,0
0,0,0,1,5.99,2,11.98,0
1,2,3,1,5.99,3,19.26,0
0,0,0,1,5.99,1,6.41,0
1,2,3,1,5.99,3,17.97,0
4,7,8,1,5.99,3,17.97,0
1,2,3,1,5.99,3,19.41,0
0,0,0,1,5.99,2,13.5,0
0,0,0,1,5.99,2,11.98,0
0,0,0,1,5.99,1,6.81,0
0,0,0,1,5.99,2,11.98,0
1,2,3,1,5.99,3,19.26,0
2,3,4,1,5.99,3,17.97,0
0,0,0,1,5.99,1,5.99,0
1,7,8,1,5.99,3,17.97,0
1,2,3,1,5.99,3,19.44,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,5.99,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,5.99,0
6,7,8,1,5.99,2,12.66,0
0,0,0,1,5.99,2,12.96,0
0,0,0,1,5.99,1,6.42,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,2,11.98,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,6.48,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,19.38,0
1,2,3,1,5.99,3,19.44,0
1,7,8,3,76.97,4,141.96,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,19.59,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,17.97,0
0,0,0,1,5.99,1,6.48,0
1,2,3,1,5.99,3,17.97,0
1,2,3,1,5.99,3,19.26,0
1,2,3,1,5.99,3,19.17,0
1,1,1,1,5.99,2,11.98,0
0,0,0,1,5.99,2,12.94,0
1,2,3,1,5.99,3,19.62,0
0,0,0,1,5.99,1,5.99,0
0,0,0,1,5.99,2,13.12,0
0,0,0,1,64.99,1,64.99,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,147.76,0
0,0,0,1,64.99,2,68.26,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,67.9,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
1,2,2,1,5.99,2,13.02,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,2,141.7,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,2,65.4,0
1,3,4,1,5.99,3,17.97,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,68.38,0
0,0,0,1,64.99,2,63.6,0
0,0,0,1,64.99,2,67.6,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,1200,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,2,146.85,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,2,137.8,0
0,0,0,1,64.99,1,1200,0
0,0,0,1,64.99,2,64.2,0
0,0,0,1,64.99,2,64.05,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,2,300.3,0
0,0,0,1,64.99,2,67.96,0
0,0,0,1,64.99,2,67.6,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,64.35,0
0,0,0,1,64.99,2,64.05,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,63.6,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,303.1,0
0,0,0,1,64.99,2,139.1,0
0,0,0,1,64.99,2,141.05,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,142.35,0
0,0,0,1,64.99,1,280,0
2,2,2,1,64.99,1,280,0
0,0,0,1,64.99,2,303.1,0
0,0,0,1,64.99,2,65.7,0
0,0,0,1,64.99,2,65.4,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,64.95,0
1,1,1,1,64.99,1,64.99,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,67.72,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,2,143,0
0,0,0,1,64.99,2,1282.2,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,1200,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,65.4,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,2,148.15,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,68.02,0
0,0,0,1,64.99,2,65.94,0
1,1,1,1,64.99,1,60,0
0,0,0,1,64.99,2,65.28,0
0,0,0,1,64.99,2,317.13,0
0,0,0,1,64.99,2,67.6,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,64.28,0
0,0,0,1,64.99,2,63.6,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,64.99,0
0,0,0,1,64.99,2,304.08,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,2,147.5,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,65.16,0
0,0,0,1,64.99,2,146.85,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,65.93,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,2,64.05,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,64.2,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,319.12,0
0,0,0,1,64.99,2,63.6,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,2,317.69,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,67.9,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,131.3,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,64.2,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
2,2,2,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,2,137.8,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,65.85,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,64.99,0
0,0,0,1,64.99,1,303.1,0
0,0,0,1,64.99,1,64.2,0
1,2,2,1,5.99,2,12.1,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.35,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,63.9,0
0,0,0,1,64.99,1,139.1,0
0,0,0,1,64.99,1,65.61,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,63.3,0
0,0,0,1,64.99,1,63.81,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,63.3,0
0,0,0,1,64.99,1,66,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,140.73,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,137.8,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,64.5,0
0,0,0,1,64.99,1,64.11,0
2,2,2,1,64.99,1,65.4,0
0,0,0,1,64.99,1,65.22,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,63.98,0
1,2,2,1,5.99,2,13.18,0
0,0,0,1,64.99,1,139.1,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,308,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.5,0
0,0,0,1,64.99,1,130,0
1,1,1,1,5.99,1,6.47,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.8,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,138.61,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,299.6,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,63.6,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,141.7,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.5,0
1,1,1,1,5.99,1,5.99,0
0,0,0,1,64.99,1,138.61,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,65.7,0
0,0,0,1,64.99,1,296.8,0
0,0,0,1,64.99,1,65.55,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.35,0
1,2,2,2,11.98,3,19.05,1
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.74,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,63.6,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,65.61,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,139.43,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,280,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,138.19,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.05,0
0,0,0,1,64.99,1,63.6,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.35,0
0,0,0,1,64.99,1,138.61,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,302.96,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,2,64.95,0
0,0,0,1,64.99,1,303.1,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,70.35,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.99,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,65.4,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,64.2,0
0,0,0,1,64.99,1,64.35,0
0,0,0,1,64.99,1,60,0
0,0,0,1,64.99,1,130,0
0,0,0,1,64.99,1,64.95,0
0,0,0,1,64.99,1,1200,0
0,0,0,1,64.99,1,64.35,0
